id,company_id,cnpj_type,cnpj,responsible_name,responsible_number,state,city,district,street,number,complement,zip_code,morning,afternoon,start_morning_hour,end_morning_hour,start_afternoon_hour,end_afternoon_hour,created_at,updated_at
1,2,unified,24.472.132/0007-70,Emanuel Ribeira,(67) 97468-3588,RS,Esperança Nova,Summer Village,Rua Davi Casqueira,33426,,55898-881,True,True,08:00:00,12:00:00,13:00:00,18:00:00,2025-03-13 19:37:16.840365,2025-03-13 19:37:16.840365
3,4,independent,95.204.789/0005-32,João Gabriel Bomdia,(13) 93800-2554,MA,Guaxupé,Paradise Estates,Avenida Beatriz,8201,,46358-149,True,True,08:00:00,12:00:00,13:00:00,18:00:00,2025-03-13 19:37:16.860616,2025-03-13 19:37:16.860616
4,4,independent,24.124.029/0002-24,Pietro da Aldeia Filho,(47) 93163-4754,BA,Paverama,Pine Acres,Marginal Henry,39679,Lote 35,52817-236,True,True,08:00:00,12:00:00,13:00:00,18:00:00,2025-03-13 19:37:16.869773,2025-03-13 19:37:16.869773
5,4,unified,76.886.046/0003-83,Juliana da Silva,(45) 93478-1439,SC,São Roque do Canaã,Paradise Oaks,Rodovia Camila,264,Lote 67,81841-284,True,True,08:00:00,12:00:00,13:00:00,18:00:00,2025-03-13 19:37:16.899564,2025-03-13 19:37:16.899564
6,13,independent,48.049.029/0004-37,Davi Lucca da Veiga,(53) 95035-6439,BA,Serra Negra,Paradise Creek,Viela Enzo Gabriel Bulhões,325,Apto. 691,96102-812,True,True,08:00:00,12:00:00,13:00:00,18:00:00,2025-03-13 19:37:16.908680,2025-03-13 19:37:16.908680
7,14,independent,47.327.224/0006-80,Maria Isis Vidal,(27) 91132-8447,BA,Pereiras,Park Heights,Viela Elísio,24169,Quadra 79,32983-886,True,True,08:00:00,12:00:00,13:00:00,18:00:00,2025-03-13 19:37:16.918602,2025-03-13 19:37:16.918602
8,14,independent,78.108.103/0001-67,Maitê Cavalcanti,(98) 91173-9005,RR,Piquet Carneiro,Eagle Acres,Travessa Juliana,9841,Sobrado 89,32892-992,True,True,08:00:00,12:00:00,13:00:00,18:00:00,2025-03-13 19:37:16.927361,2025-03-13 19:37:16.927361
9,15,independent,69.806.994/0003-04,Vitória Hernandes Jr.,(53) 97037-3345,CE,Marmelópolis,Eagle Crossing,Travessa Célia,s/n,Quadra 85,64574-491,True,True,08:00:00,12:00:00,13:00:00,18:00:00,2025-03-13 19:37:16.936642,2025-03-13 19:37:16.936642
10,16,independent,62.895.383/0004-03,Sara Filgueira,(55) 95635-7636,RO,Monte Carlo,Autumn Village,Marginal Samuel da Terra,s/n,Sobrado 31,16037-489,True,True,08:00:00,12:00:00,13:00:00,18:00:00,2025-03-13 19:37:16.953131,2025-03-13 19:37:16.953131
11,16,unified,30.482.596/0003-36,Maria Eduarda do Prado,(63) 92622-3705,PR,Cristais Paulista,Summer Pointe,Rodovia Washington Moreira,7148,Sobrado 88,53456-109,True,True,08:00:00,12:00:00,13:00:00,18:00:00,2025-03-13 19:37:16.962400,2025-03-13 19:37:16.962400
12,19,unified,41.339.134/0004-61,Júlia Rios,(38) 93979-9594,AL,Mesquita,Park Gardens,Avenida Francisco,s/n,Apto. 574,82936-072,True,True,08:00:00,12:00:00,13:00:00,18:00:00,2025-03-13 19:37:16.978256,2025-03-13 19:37:16.978256
13,19,unified,41.287.232/0009-07,Dr. Rebeca de Sá,(77) 92055-3055,AL,Barcelos,University Square,Ponte Arthur Miguel,s/n,Casa 1,88824-466,True,True,08:00:00,12:00:00,13:00:00,18:00:00,2025-03-13 19:37:16.988990,2025-03-13 19:37:16.988990
14,21,unified,37.776.536/0005-37,Ana Vitória Ramires,(22) 97289-7582,RO,Palhoça,Park Estates,Marginal Alessandro do Prado,s/n,Sobrado 84,92686-891,True,True,08:00:00,12:00:00,13:00:00,18:00:00,2025-03-13 19:37:16.998806,2025-03-13 19:37:16.998806
15,21,independent,03.031.068/0003-98,Pietra Videira Jr.,(38) 99283-1253,RR,Ceará-Mirim,University Court,Travessa Rebeca da Silveira,665,Quadra 90,15468-783,True,True,08:00:00,12:00:00,13:00:00,18:00:00,2025-03-13 19:37:17.020559,2025-03-13 19:37:17.020559
